"Filenames" "Genotype"
"28" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF288.november_2007_distortion_corrected/stats-volumes/mills_SF288.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"29" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF294.november_2007_distortion_corrected/stats-volumes/mills_SF294.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"30" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF312.november_2007_distortion_corrected/stats-volumes/mills_SF312.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"31" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF313.november_2007_distortion_corrected/stats-volumes/mills_SF313.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"32" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF315.november_2007_distortion_corrected/stats-volumes/mills_SF315.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"33" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF316.november_2007_distortion_corrected/stats-volumes/mills_SF316.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"34" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF317.november_2007_distortion_corrected/stats-volumes/mills_SF317.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"35" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF318.november_2007_distortion_corrected/stats-volumes/mills_SF318.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"36" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF336.november_2007_distortion_corrected/stats-volumes/mills_SF336.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"37" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF337.november_2007_distortion_corrected/stats-volumes/mills_SF337.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"38" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF339.november_2007_distortion_corrected/stats-volumes/mills_SF339.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"39" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF340.november_2007_distortion_corrected/stats-volumes/mills_SF340.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
