"Filenames" "Genotype"
"12" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5311.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5311.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5312.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5312.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"14" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5313.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5313.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"15" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5315.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5315.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"16" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5317.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5317.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5579.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5579.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5581.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5581.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"19" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5583.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5583.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5585.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5585.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"21" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5620.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5620.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"22" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5622.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5622.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"23" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5798.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5798.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"24" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5900.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5900.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"25" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5903.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5903.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"26" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5904.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5904.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
