"","amygdala","anterior commissure: pars anterior","anterior commissure: pars posterior","arbor vita of cerebellum","basal forebrain","bed nucleus of stria terminalis","cerebellar cortex","cerebellar peduncle: inferior","cerebellar peduncle: middle","cerebellar peduncle: superior","cerebral aqueduct","cerebral cortex: entorhinal cortex","cerebral cortex: frontal lobe","cerebral cortex: occipital lobe","cerebral cortex: parieto-temporal lobe","cerebral peduncle","colliculus: inferior","colliculus: superior","corpus callosum","corticospinal tract/pyramids","cuneate nucleus","dentate gyrus of hippocampus","facial nerve (cranial nerve 7)","fasciculus retroflexus","fimbria","fornix","fourth ventricle","fundus of striatum","globus pallidus","habenular commissure","hippocampus","hypothalamus","inferior olivary complex","internal capsule","interpedunclar nucleus","lateral olfactory tract","lateral septum","lateral ventricle","mammillary bodies","mammilothalamic tract","medial lemniscus/medial longitudinal fasciculus","medial septum","medulla","midbrain","nucleus accumbens","olfactory bulbs","olfactory tubercle","optic tract","periaqueductal grey","pons","pontine nucleus","posterior commissure","pre-para subiculum","stratum granulosum of hippocampus","stria medullaris","stria terminalis","striatum","subependymale zone / rhinocele","superior olivary complex","thalamus","third ventricle","ventral tegmental decussation"
"BTBRvB6",0.602192331504245,3.58688937387111,-1.19549418909108,3.0297414638036,-1.25895441359222,3.67082618481086,7.22081575064906,0.614824131873115,0.834253274591536,-1.42163598021421,1.13926034872618,-2.46670468067876,-2.18249534388951,0.401036894412253,-2.88883569123399,-2.52410027838479,-0.236117257886711,0.904124505801582,-5.05576913910782,0.847237513283894,-0.0402911834381324,-5.63171710303349,3.48570817119592,0.265267180468144,-0.181668955608959,0.343424262195886,0.740303985237984,0.295406433209487,-6.39222887593785,-1.53672616631953,6.02526324299687,0.18638600021146,0.740307698327732,-4.04085736838858,0.256792754482558,4.33118863813476,2.45404368974011,-1.3792077556149,-0.20025373881364,-1.76665833567093,-0.699385641143662,-0.949785368359263,3.19917127839283,-1.98794415522296,-1.91700201249221,1.42760067264355,1.81465717657717,0.955717087602706,5.06190945536627,1.76742104751413,2.65268334502575,1.60870252062589,-2.54641426345711,-4.38971323188538,-3.77915014260141,-1.54939771537402,-7.62159465844711,1.71643867472009,0.807148709534527,-2.96542011482985,0.557687179151253,1.85086896478879
"BTBRvFVB",2.21036481522015,8.25627456415021,0.29581618416799,-2.42323945473829,-0.571290755830387,2.67407959298194,-1.5327626085713,-1.81419575846336,-1.3370150357341,0.960009080755607,1.37317170375956,-0.769704248191019,-1.38048741293664,-1.57199320516686,-1.70715496418669,-3.43340840108334,0.652387941243986,2.80031560982316,-10.4792855364795,-0.254992826475337,-2.02066783680423,-0.980771503042352,5.896895833847,2.76182119492098,-0.418996041286148,6.31667470657216,2.35757184114184,0.208033693923815,-2.33930563464489,-2.13104909364374,2.38719553717677,6.26891890985344,-0.56127922700498,-2.68828396335917,-2.78261374032085,1.95060745277909,6.1351810200271,-0.509486865478416,1.34496803127587,-0.592345767889815,-0.0137508375638996,1.75984619377991,1.4838191145863,0.380159267772361,-1.38557454736183,2.65579766538269,3.58532862769802,4.2105796056947,5.83390755780517,2.41560243986668,-0.287714194617379,4.92508782598984,-6.90943172595565,-2.40750945719836,-1.16656977284924,0.996173416921079,-2.79606348870934,10.6212604961529,-0.440180984916139,0.293011338829785,2.11267203946026,1.64575625238659
"NRXN1a (-/-)",-0.061676397119582,1.41935318730532,0.0556442699419924,0.31560163617784,0.31954803541567,0.336291419200082,-0.756125005996706,0.209638351405554,0.174032846859661,4.60343827023643,0.651235863534382,0.0465969646855681,0.743611398897167,0.601184315875758,1.08340847234695,1.3558775673343,-1.78376433006743,-0.754879242810329,1.36054857721795,0.143553740316973,-0.128592611284149,-0.812176748686277,0.890587774650303,0.320785001336809,1.25953277229396,1.42279863385317,0.219109027503125,-0.100666572846164,0.296764093542053,0.0300031878349835,-0.491435258801056,0.311882944104826,-0.506773360585519,0.577018910790866,-0.277926423245681,-0.595081644021664,1.03160722711014,0.579514059949589,0.695284838671056,0.0788164108189337,-0.363623663946836,1.44444514765782,-1.00056316211069,0.368798264595362,-0.684649837575364,-1.74879263992158,-0.835835438743289,0.16590686928879,-0.25841336988939,0.865827663586911,-0.312520714788337,0.659717650273357,0.449562030029859,-0.363962881530431,0.951810861592412,0.0360152413331187,-0.919920865941883,0.210339552010233,-0.421722519476952,2.30416222783413,1.54383836403012,1.06462142154835
"NRXN1a (-/+)",-0.205342128118947,0.397410469633653,0.0991141461642557,0.50427957026895,-0.203234053444736,-0.520451978838694,-0.0309769452102187,-0.287619417882054,-0.571990722417333,2.72131970510749,0.559385772009602,-0.69598151880911,0.471246817534529,0.135819260347783,1.05419654343136,0.099484264773947,-0.750405785405202,-0.82942743654259,1.93706598476579,-0.635692629879864,-1.01398146512041,0.159536427486807,0.267710038066511,0.0532400007104638,2.10449432618956,-0.114780641679034,-0.293380050902484,-0.0932879353320039,0.502498653844378,-0.507782987389807,0.0426628708933345,-0.710332103538313,-1.34546489473984,1.12773385994491,-0.917783723945905,-0.152230262438257,0.319217394895691,0.918037344662184,-1.00322049148887,0.329608553845699,-0.759515507373962,-0.305357200693369,-2.22646912004932,-0.271961174042781,-1.03453233162711,-1.07591469046179,-0.93542273566952,-0.073116519743217,-0.0599209671996045,-0.701363238620432,-1.95877782249171,0.751062679517545,0.947678869545904,0.38457853281184,-0.11078822531682,0.635652162976677,1.33600325419852,0.24859574050333,-1.23622000928358,1.51580705188926,0.093174139591302,0.452121805941434
"SERT Ala56 KI",-0.724477758796267,-0.270852748779187,-0.183851918841712,0.260313959054115,0.412312685228893,0.331002129943862,0.47361907363103,0.335476279362681,-0.121520159599862,0.205217221178121,-0.441472353109591,0.296915083323748,-0.342539947319996,0.485934093804794,-1.56441334543496,-0.189186421984523,0.569576439397526,0.420277944210192,-0.521418283499662,0.227110417499847,0.606969091024168,0.300000339889658,-0.0364975858716607,0.53600938728596,-0.282053344005596,-0.109544249281296,0.245269670377752,-0.14799343478835,0.465025220882513,-0.497445211179233,-0.0471893515166442,0.382615341019554,0.621545493985574,-0.175147175356975,-0.161635761023139,0.758074388438127,0.581772556772212,-0.262501965059269,0.192056270554953,-0.402813936533689,0.644158222902373,0.0919176480547589,0.609635266656202,0.0476396864913217,0.104692092565368,-0.369273142595248,-0.730349027860362,0.257686316446964,0.580118858067041,0.150039963629697,-0.352202538600963,-0.417351228709888,-0.0836152613662128,0.328305941920916,0.131699619787742,-0.66479987556753,1.33895597834907,-0.265780055748157,-0.366951122374338,-0.0278212644688642,-0.667283174246902,-0.163693800955956
"SERT Ala56 KI 129",-0.394477901354092,0.990084499771662,-1.23319385110702,-0.312367445793894,0.224022839771367,-0.334472322262048,0.711224846330474,0.379402801871349,0.538071054016412,-0.0102695163572144,-0.083731157948163,0.816785248614879,-0.212591513130364,0.604136938837259,-0.630060653259246,-0.165310316757927,1.08164618534727,1.13392783371214,-1.12478939144611,-1.82080564137653,-1.03940544680066,-0.396912679006132,0.0185718346618126,-0.318574734297671,-1.05247346536992,-0.148390847901976,-0.276108677127359,-0.415435379149005,-0.491109385973283,0.132285798177233,0.0810332437562679,-0.168657117366403,0.0503952431639153,-0.906101887953544,-0.599892684778879,0.448624190344521,-0.212193025424696,-0.756704234055815,0.774550855672578,-0.251184310272815,-0.784889885736754,0.688853414359024,0.199535448233175,-0.206429194212443,-0.152429571390569,0.555755259251556,0.544496539980754,0.0214186358977219,0.45388495733321,0.0239836062706359,0.724222792179641,0.402915533141268,0.110461556755111,-0.353648982928496,-0.602761972984877,-0.592783974737841,-0.318197138057284,1.5542520026133,0.374968221490628,-0.78675437720221,-0.516147403404745,-0.42101532951789
"SERT KO (-/-)",-0.958001461139811,-0.311928757144833,-0.331663943844091,-0.961294388827837,0.185884823044301,-1.54839123019481,0.260839304081727,-0.386189029754437,0.352128740004007,0.312616173218366,-0.704798940845765,-0.219723405210353,-0.409350322377898,-0.445839782941015,-0.603584361890424,1.61887542827433,0.14475754391971,-0.229793771918501,0.199074184089239,0.57947171583618,0.492570247482302,0.00800140102639526,0.453483613262763,-0.352986090514733,0.797968216283682,0.458808306097073,0.795667155526567,-0.339775614431212,-0.75386664665485,0.779505067511445,0.584149193585401,0.724054441909279,0.0349209450132064,-0.230467753713485,-0.456551815815196,-0.410290162523714,0.95950877723735,0.558567420699698,1.26472801878494,-0.906477532464574,0.19106209515585,0.505749540387088,0.626005427203232,0.715575327469033,-0.822518654271579,0.252250516774111,-0.44597338115829,0.275264130861636,0.0110840657815892,0.660695178012839,0.185860140249747,-0.311180585769918,-0.435510921273519,0.0344996148603229,0.24610821026949,-0.129754985103447,-0.11557726913618,0.338978088376914,0.843732113793011,-1.35091160819416,0.755670852423656,-0.241043277832165
"SHANK3 (-/-)",-0.480542917663654,-0.158907415081323,0.309795522978279,0.304505027153561,0.354168440292341,-0.452235092841598,0.643741728178855,-0.102484079168705,-0.458363454590368,0.465739439587067,0.00019084993981061,0.447379724784208,-0.0126457781948848,0.14017709525136,0.366513589198707,0.600506790804298,-0.252212038500521,0.429234701543454,-0.456501010261667,-0.871663157394303,0.277224051105979,-0.444349019724545,0.630376173004677,0.739403739763943,-0.56200538633028,0.585445215309925,0.724105650676011,0.490330973639668,1.11063778937371,0.581176531228038,-0.632649384088627,-0.177931355342242,-0.815415082736463,0.168074531519593,0.0447429165868824,0.593158375649606,-0.07625645842649,0.220845573742088,-0.20400798090091,0.644501566213743,-0.740122406763088,-0.0326541933787376,-0.696574358869142,0.356244289075499,-0.162317240936927,0.256522498318807,-0.175926936878213,-0.211868800855207,0.726184301824628,0.126357442032149,-0.374735708777094,0.509581175150472,-0.111732303104865,-0.629225469911606,0.390528939256215,0.329633427862346,0.29059359998639,0.0235546386903966,-0.282975153802245,-0.306129847235455,-0.252135413479526,0.555625932055604
"SHANK3 (-/+)",-0.317002052599678,0.101059637655414,0.809606721493582,-0.516394637688449,0.217242220776854,-0.194784998369445,-0.189006449118891,-0.122909963528038,-0.678160503261887,0.671541704291882,-0.270504838766569,0.391150744110539,0.267814577664873,0.34163142233546,0.0921461848773495,0.372986408574833,-0.553852930323736,0.321844040524367,0.20367190916348,0.109468240957535,-0.228448277487947,-0.0355977338063414,0.348721777805016,0.691295806805666,-0.142783393252613,0.581910293457041,-0.000355715136627995,0.308605564201963,0.244211245611561,0.163710766034741,-0.243495449179691,0.286028771238219,-0.0791223696397854,0.180611429950677,0.58387859017402,0.16777413993956,-0.558926766194624,-0.100090342282732,0.345905905200555,1.32014115243171,0.327016074353606,-0.0627708945768535,0.0291924550127368,0.45998740150193,0.439375112810728,-0.278766919759449,-0.321921593915032,-0.109154920052301,0.70439527006363,0.119042574840893,-0.314452571022459,0.387994131928173,1.0677620603874,-0.0739048045107819,0.400502395557555,0.246104528647734,-0.0806049632310465,-0.0242272565898836,-0.40801091979508,-0.160333537827759,-0.617460083402602,1.00757815302341
"AndR 12Q",-0.383741603158266,-0.201146587599898,-1.58587696717137,-1.03363961421617,-1.14437520570856,-0.697991112258934,-0.864030466477915,-0.388666804395024,-0.9873532423968,-0.629533407303568,0.200201838910783,0.270824941648531,1.78036729343106,-0.187182179014599,1.45103209054863,-1.11764917060926,-0.709352743707846,-0.319206920141102,-0.550035380926168,-0.46678134399574,0.0317571324673287,-0.930030389100423,-0.876870842715179,-0.664855256796962,-0.168489846672748,-1.3514590766235,-0.251522417702361,-1.42112115237383,-0.410930705884617,-0.29856908451775,-1.24722854669655,-0.933497600599734,-0.287581032676409,-1.24779776085702,-0.0898370726059918,-0.133045718212142,-0.380604196954689,0.365407963893009,-0.860862562194137,-0.134578528104065,-0.946087410979006,-1.11808638722331,-0.0949641981409944,-0.662213216495621,0.217146359574694,0.669682355598588,-0.494418297076018,-1.25919353908354,-0.857760646394318,-0.611641628093806,-0.290862843051294,0.0829936666191617,0.445460334856199,-0.940501455255343,-0.984204819992758,-0.749402497801831,-0.0162198355314575,0.194326525529217,-0.441033803202135,-0.247876943330412,0.105681298813013,-0.458937719477098
